%time,field.ecef_vel.e,field.ecef_vel.n,field.ecef_vel.u
1665831228.02986,0.488829611,4.88160765,1.042405462
1665831228.23112,0.17787542,4.679046368,0.203877234
1665831228.43265,0.239506537,4.258189992,0.497241864
1665831228.63306,0.181507237,4.050443196,0.597389205
1665831228.82428,0.271778525,3.558092421,0.74512708
1665831229.02649,0.060695096,3.285371982,0.63984442
1665831229.22777,0.295244773,3.117866998,0.241851557
1665831229.42888,0.30627352,2.450688919,0.899263929
1665831229.62996,0.225941543,2.48847431,0.520982648
1665831229.83156,0.079120877,2.356804256,0.161375322
1665831230.03175,0.045707821,2.194709069,0.017620434
1665831230.23302,0.20465954,1.832941237,0.560552176
1665831230.42426,0.225993924,1.503401367,0.533875451
1665831230.6255,0.103212063,1.544573038,0.309188116
1665831230.82695,0.049515112,1.453924448,-0.006893662
1665831231.02738,0.057554724,1.17699435,0.159543519
1665831231.22967,0.023868695,1.046137354,0.037427967
1665831231.43102,0.000926651,0.975584126,0.013608968
1665831231.63236,0.092202734,0.872728467,0.215776943
1665831231.82444,0.117085025,0.844112551,0.173739686
1665831232.0255,-0.003049215,0.86031419,0.016123788
1665831232.22701,0.033310671,0.733818783,0.131497618
1665831232.4281,0.05001023,0.739749179,0.115433524
1665831232.62959,0.18131302,0.72721594,0.109610698
1665831232.82988,0.042091175,0.788268942,0.343535192
1665831233.03108,0.029584039,0.828011038,-0.014771795
1665831233.23149,0.090239753,0.972968877,0.068908066
1665831233.42284,0.106279529,1.103067904,0.163788985
1665831233.6241,-0.009683444,1.23510013,0.120622097
1665831233.82551,0.069145374,1.295224454,0.137366743
1665831234.02743,0.114895862,1.503248392,0.178902075
1665831234.22812,0.08766443,1.588336245,0.072136133
1665831234.43033,0.012166964,1.707653708,0.277335099
1665831234.63146,0.211378706,1.748093697,0.374834736
1665831234.83309,0.133632663,1.992924704,0.428364079
1665831235.02356,0.069480177,2.070314687,0.068698931
1665831235.22487,0.229405713,2.206138088,0.163440192
1665831235.4263,0.019574306,2.172015181,0.297526537
1665831235.62746,0.149510539,2.383545946,0.283886127
1665831235.82869,0.193585591,2.511295002,0.089093729
1665831236.02998,-0.087413591,2.512103143,0.270144098
1665831236.23061,0.145890977,2.648354824,0.294281152
1665831236.43209,0.084636776,2.861542878,0.13117402
1665831236.62338,0.252620972,2.909706327,0.446799054
1665831236.82457,0.05917224,3.183782752,0.211639424
1665831237.02631,0.298359921,3.380320505,0.169442561
1665831237.22667,0.178223981,3.383594624,0.554894706
1665831237.42798,0.195579913,3.630319522,0.281633922
1665831237.62945,0.295872736,3.786769097,0.40561626
